Channel_id,Youtube_id,Type,Related/Not Related,,,,
UCzYINhxV-VCP5sXYtMXvNng,https://www.youtube.com/channel/UCzYINhxV-VCP5sXYtMXvNng,Cinematic ,Related,,,,
UCZYbdpG4VSnXwaxfa5gKW1w,https://www.youtube.com/channel/UCZYbdpG4VSnXwaxfa5gKW1w,Cinematic ,Related,,,,
UCZV1Af2jIcajOSE-BTZBfYA,https://www.youtube.com/channel/UCZV1Af2jIcajOSE-BTZBfYA,Freestyle/Racing,Related,,,Categories,# of Youtube account
UCZqnqUW11r1xN2bIjG92xmg,https://www.youtube.com/channel/UCZqnqUW11r1xN2bIjG92xmg,Drone Review,Related,,,Cinematic,460
UCzQlc2jwZirSuD2pr7x0RxQ,https://www.youtube.com/channel/UCzQlc2jwZirSuD2pr7x0RxQ,Drone Review,Related,,,Drone Review,605
UCZO88ypW5_C5JCr_kNTM69g,https://www.youtube.com/channel/UCZO88ypW5_C5JCr_kNTM69g,Cinematic ,Related,,,Freestyle/racing,344
UCznmLGlbWnCrYCOv6Cgpp4Q,https://www.youtube.com/channel/UCznmLGlbWnCrYCOv6Cgpp4Q,Freestyle/Racing,Related,,,,
UCzKfXd_ZAQ3yLK-98UG0C3A,https://www.youtube.com/channel/UCzKfXd_ZAQ3yLK-98UG0C3A,Freestyle/Racing,Related,,,,
UCzjMgMHnP3Oog4BVZ5eN0aw,https://www.youtube.com/channel/UCzjMgMHnP3Oog4BVZ5eN0aw,Cinematic ,Related,,,,
UCziVkZ1pVhwGKWQceXW2KPQ,https://www.youtube.com/channel/UCziVkZ1pVhwGKWQceXW2KPQ,Cinematic ,Related,,,,
UCZFZjTtu-8X3H0Ymcy4-uEA,https://www.youtube.com/channel/UCZFZjTtu-8X3H0Ymcy4-uEA,Drone Review,Related,,,,
UCZbNHTXbwoE4x4cW21rcuqA,https://www.youtube.com/channel/UCZbNHTXbwoE4x4cW21rcuqA,Cinematic ,Related,,,,
UCz04KxFOUAtMWwQO7QrEFeQ,https://www.youtube.com/channel/UCz04KxFOUAtMWwQO7QrEFeQ,Freestyle/Racing,Related,,,,
UCZ-YcV5XbOQGLD6Lv5C5BVA,https://www.youtube.com/channel/UCZ-YcV5XbOQGLD6Lv5C5BVA,Drone Review,Related,,,,
UCYWhRC3xtD_acDIZdr53huA,https://www.youtube.com/channel/UCYWhRC3xtD_acDIZdr53huA,Drone Review,Related,,,,
UCyuIli6kn9RQn61sIoo0w5w,https://www.youtube.com/channel/UCyuIli6kn9RQn61sIoo0w5w,Drone Review,Related,,,,
